Course,Credit Hours,Prerequisite,Corequisite 
MATH101,4,None,None
PHYS101,4,None,MATH101
ENGL101,3,None,None
PE  101,1,None,None
ICS 104,3,None,None
IAS 121,2,None,None
MATH102,4,MATH101,None
ENGL102,3,ENGL101,None
ICS 108,4,ICS104,None
PHYS102,4,PHYS102,MATH102
IAS 111,2,None,None
MATH201,3,MATH102,None
ISE 291,3,ICS104,None
SWE 206,3,ICS108,None
ICS 202,4,ICS108,None
CHEM101,4,None,None
MATH208,3,MATH102,None
COE 292,3,ISE291,None
SWE 216,3,SWE206,None
ICS 253,3,ICS104,None
COE 233,3,ICS108,None
IAS 212,2,None,None
STAT319,3,MATH102,None
ENGL214,3,ENGL102,None
SWE 316,3,SWE206,None
ICS 321,3,ICS202,None
ICS 343,4,ICS108,None
SWE 363,3,None,None
CGS 392,1,ENGL214,None
SWE 326,3,SWE216,None
ICS 344,3,ICS343,None
SWE 387,3,None,None
BUS 200,3,None,None
SWE 399,0,ENGL214;SWE363,None
SWE 439,3,SWE316;STAT319,None
SWE 411,3,SWE316;SWE387,None
SWE 412,2,SWE326;SWE411,None
ICS 433,3,COE233,None
SWE 302,3,SWE206,None
SWE 321,3,ICS202;ICS253,None
SWE 422,3,SWE206,None
SWE 436,3,SWE316,None
SWE 440,3,None,None
SWE 445,3,None,None
SWE 463,3,ICS108,None
SWE 487,3,SWE387,None
SWE 490,3,None,None
SWE 491,3,None,None
SWE 497,3,None,None